model,mean_latest_train_loss,std_latest_train_loss,mean_latest_val_loss,std_latest_val_loss,mean_best_train_loss,std_best_train_loss,mean_best_val_loss,std_best_val_loss,avg_best_epoch
cnn3d_dropout_0_5/level=small/opt=Adam_lr=0.001_crit=MSELoss,0.4959925365447998,0.0147092679326425,1.1786600351333618,0.3860033667478296,0.8520889389514922,0.0476426661655551,1.0084895223379136,0.3736782096669341,13
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_crit=MSELoss,0.4959237337112426,0.0203230372075251,1.329057413339615,0.4186302802339262,0.8819059228897095,0.0618891013458424,1.0332812070846558,0.3936122962818293,11
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_crit=MSELoss,0.2635655337572097,0.0204805738034539,1.5044953644275665,0.4255620977226065,0.8252707040309906,0.097342871647814,1.028383594751358,0.3755798634564188,9
linear_regression/level=small/opt=Adam_lr=0.001_crit=MSELoss,9.56471116065979,3.939911756144737,9.516393375396728,2.435535571904412,0.4590327924489975,0.1831766228941886,1.4749922692775723,0.4318891762559468,36
cnn3d/level=small/opt=Adam_lr=0.001_crit=MSELoss,0.260118106007576,0.0081075037007469,1.5697446882724762,0.3773765620877625,0.8221647310256959,0.118089660502218,1.029820117354393,0.3963037839889853,11
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_crit=MSELoss,0.7088521626065759,0.0402776331217914,1.059925874736574,0.1324794494126293,0.8532567981060813,0.1460594952402917,0.9161115464237002,0.2523547359601003,50
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=4_crit=MSELoss,0.5845413054548093,0.0119833890689103,1.2177013376179864,0.096741611453655,0.890864339248458,0.0755854757023264,0.9453223123269924,0.1208179713817794,17
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.4720050862606834,0.0340550854801978,1.2242416408326888,0.2141894192800082,0.8940716157941256,0.0434708853504348,0.96268572807312,0.1668972008260353,10
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.3906287444962395,0.0365882621875921,1.266263747215271,0.341014530231172,0.8710302657551235,0.0486206318399251,0.99792883793513,0.2940293587587573,8
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=4_crit=MSELoss,0.6932215912128563,0.0240249049261513,1.0751388665507822,0.1009294234552158,0.9047055764874414,0.0735214084097117,0.9513577001936294,0.1284944771964837,19
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=8_crit=MSELoss,0.6511336756103179,0.0172052728062985,1.0693433066209157,0.176040125780975,0.9007914707941168,0.0574679628965113,0.958355536725786,0.1604879530489776,17
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=32_crit=MSELoss,0.704433786869049,0.0336782779047733,1.1063757181167602,0.2922093893911424,0.8957023567623562,0.0998125612753258,1.0157287498315175,0.300523008139671,29
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0004_batch=4_crit=MSELoss,0.5764636392468837,0.0352041850738178,1.184563077547971,0.089216860489844,0.8547089238664997,0.0821590402172449,0.9485864029211156,0.1180922188529938,21
